BB ID 1,BB ID 2,AB,BA
17435,125554,110623,1359
17435,125555,110554,1354
17435,125556,110701,1467
17435,125557,110506,1407
17435,125558,110509,1384
17435,125559,110612,1322
17435,125560,110696,1519
17435,125561,110700,1534
17435,125562,110703,1544
17435,125563,110599,1617
17436,125554,110623,2855
17436,125555,110558,2956
17436,125556,110701,3172
17436,125557,110502,2927
17436,125558,110509,2917
17436,125559,110612,2838
17436,125560,110696,3208
17436,125561,110700,3243
17436,125562,110703,3191
17436,125563,110598,3134
17437,125554,110628,874
17437,125555,110575,1310
17437,125556,110701,623
17437,125557,110530,2928
17437,125558,110536,2582
17437,125559,110614,937
17437,125560,110697,661
17437,125561,110700,647
17437,125562,110703,651
17437,125563,110609,1669
17438,125554,110623,3530
17438,125555,110560,3693
17438,125556,110702,4003
17438,125557,110501,3660
17438,125558,110511,3659
17438,125559,110612,3503
17438,125560,110696,4016
17438,125561,110700,4071
17438,125562,110703,3996
17438,125563,110598,3885
17439,125554,110623,3529
17439,125555,110560,3694
17439,125556,110702,3998
17439,125557,110501,3654
17439,125558,110511,3655
17439,125559,110612,3502
17439,125560,110696,4009
17439,125561,110700,4063
17439,125562,110703,3998
17439,125563,110598,3888
17440,125554,110623,1597
17440,125555,110557,1593
17440,125556,110701,1726
17440,125557,110502,1664
17440,125558,110510,1641
17440,125559,110612,1546
17440,125560,110696,1867
17440,125561,110700,1889
17440,125562,110703,1886
17440,125563,110598,2034
17441,125554,110629,968
17441,125555,110575,1355
17441,125556,110701,675
17441,125557,110532,2967
17441,125558,110538,2631
17441,125559,110616,1022
17441,125560,110697,719
17441,125561,110700,701
17441,125562,110703,704
17441,125563,110609,1827
17442,125554,110629,937
17442,125555,110575,1434
17442,125556,110702,641
17442,125557,110538,3485
17442,125558,110542,2997
17442,125559,110615,1011
17442,125560,110698,685
17442,125561,110700,671
17442,125562,110703,670
17442,125563,110610,1926
17443,125554,110629,993
17443,125555,110575,1498
17443,125556,110702,662
17443,125557,110540,3701
17443,125558,110542,3160
17443,125559,110617,1071
17443,125560,110698,702
17443,125561,110701,687
17443,125562,110703,685
17443,125563,110610,2106
17444,125554,110624,1675
17444,125555,110554,1711
17444,125556,110701,1930
17444,125557,110505,1802
17444,125558,110512,1775
17444,125559,110612,1667
17444,125560,110696,2037
17444,125561,110700,2039
17444,125562,110702,2055
17444,125563,110599,2291
